lat,long,Consequence
48.8375,2.45197,Blesse leger
48.8376,2.37364,Blesse leger
48.8376,2.39086,Blesse leger
48.8376,2.39092,Indemne
48.8377,2.33116,Blesse leger
48.8377,2.35117,Blesse leger
48.8377,2.40077,Blesse leger
48.8378,2.40036,Blesse leger
48.8379,2.40004,Blesse leger
48.8379,2.40386,Blesse leger
48.838,2.35582,Blesse leger
48.838,2.37325,Blesse leger
48.8381,2.36036,Blesse leger
48.8382,2.34951,Indemne
48.8382,2.35644,Blesse leger
48.8383,2.27067,Blesse leger
48.8383,2.28125,Indemne
48.8384,2.25701,Blesse leger
48.8384,2.35068,Blesse leger
48.8384,2.35703,Blesse leger
48.8384,2.35703,Indemne
48.8384,2.39294,Blesse leger
48.8384,2.39868,Blesse hospitalise
48.8385,2.29359,Blesse leger
48.8385,2.32261,Blesse leger
48.8385,2.38972,Blesse hospitalise
48.8385,2.39583,Blesse leger
48.8386,2.33665,Blesse leger
48.8387,2.31435,Blesse leger
48.8387,2.36085,Blesse leger
48.8387,2.37234,Blesse leger
48.8387,2.37568,Blesse leger
48.8387,2.46136,Blesse leger
48.8388,2.25681,Blesse leger
48.8389,2.32028,Blesse leger
48.8389,2.35836,Blesse leger
48.8389,2.36978,Blesse leger
48.839,2.31657,Blesse leger
48.839,2.35395,Blesse leger
48.839,2.35395,Indemne
48.839,2.38921,Blesse leger
48.839,2.42848,Blesse leger
48.8391,2.26125,Blesse leger
48.8391,2.30003,Blesse leger
48.8391,2.35918,Blesse leger
48.8391,2.36115,Blesse leger
48.8391,2.3904,Blesse leger
48.8391,2.39052,Blesse leger
48.8393,2.30489,Blesse leger
48.8393,2.35978,Blesse hospitalise
48.8393,2.39332,Blesse leger
48.8395,2.28997,Blesse leger
48.8396,2.26284,Blesse leger
48.8396,2.26773,Blesse leger
48.8396,2.39689,Blesse leger
48.8396,2.3981,Blesse leger
48.8397,2.39619,Blesse leger
48.8397,2.40886,Blesse leger
48.8397,2.45738,Blesse hospitalise
48.8398,2.26759,Blesse leger
48.8398,2.32368,Blesse leger
48.8398,2.34587,Indemne
48.8398,2.35131,Blesse leger
48.8399,2.2563,Blesse leger
48.8399,2.36179,Blesse leger
48.84,2.29031,Blesse leger
48.84,2.32386,Blesse leger
48.84,2.43217,Blesse leger
48.84,2.43217,Indemne
48.8401,2.37072,Blesse leger
48.8401,2.37072,Indemne
48.8402,2.33901,Blesse leger
48.8402,2.43645,Blesse leger
48.8402,2.43645,Indemne
48.8403,2.28584,Blesse leger
48.8403,2.34595,Blesse hospitalise
48.8403,2.34595,Indemne
48.8404,2.28389,Indemne
48.8404,2.31491,Blesse leger
48.8404,2.37898,Blesse leger
48.8405,2.29943,Blesse leger
48.8405,2.43442,Blesse leger
48.8406,2.2562,Blesse leger
48.8406,2.34517,Blesse leger
48.8407,2.36958,Blesse leger
48.8408,2.32152,Blesse leger
48.8408,2.34461,Blesse leger
48.8409,2.26529,Blesse leger
48.8409,2.40468,Blesse leger
48.841,2.32497,Blesse leger
48.8411,2.39887,Blesse leger
48.8412,2.32163,Indemne
48.8412,2.35596,Blesse leger
48.8412,2.35596,Indemne
48.8413,2.29817,Blesse leger
48.8413,2.32486,Blesse leger
48.8414,2.27781,Blesse leger
48.8414,2.28721,Blesse leger
48.8414,2.45114,Blesse leger
48.8415,2.29914,Blesse hospitalise
48.8415,2.33121,Blesse leger
48.8415,2.36298,Blesse leger
48.8417,2.29166,Blesse leger
48.8417,2.33777,Indemne
48.842,2.31968,Blesse leger
48.842,2.3296,Blesse leger
48.8421,2.3413,Blesse leger
48.8422,2.32898,Blesse leger
48.8422,2.35202,Blesse leger
48.8422,2.37635,Blesse leger
48.8423,2.31333,Blesse leger
48.8423,2.376,Blesse hospitalise
48.8425,2.33818,Blesse leger
48.8425,2.36373,Indemne
48.8426,2.26863,Blesse leger
48.8426,2.3615,Indemne
48.8426,2.40515,Blesse leger
48.8427,2.35212,Blesse leger
48.8427,2.38477,Blesse leger
48.8428,2.36393,Blesse leger
48.843,2.35216,Blesse leger
48.843,2.38927,Blesse hospitalise
48.8431,2.28349,Blesse leger
48.8431,2.32635,Blesse leger
48.8432,2.36615,Blesse leger
48.8432,2.37439,Blesse leger
48.8433,2.36427,Indemne
48.8433,2.38372,Indemne
48.8434,2.31404,Blesse leger
48.8434,2.32414,Blesse leger
48.8434,2.37071,Blesse leger
48.8434,2.37071,Indemne
48.8435,2.32493,Indemne
48.8436,2.29323,Indemne
48.8436,2.37053,Blesse leger
48.8437,2.2863,Blesse leger
48.8437,2.36457,Blesse leger
48.8437,2.3655,Blesse leger
48.8438,2.28188,Blesse leger
48.8438,2.32295,Blesse leger
48.8438,2.33751,Blesse leger
48.8439,2.33896,Indemne
48.8439,2.37319,Blesse leger
48.844,2.33062,Blesse leger
48.844,2.37294,Indemne
48.8441,2.3231,Blesse leger
48.8443,2.30227,Indemne
48.8443,2.33299,Blesse leger
48.8443,2.33915,Blesse leger
48.8443,2.36496,Blesse leger
48.8443,2.38153,Blesse hospitalise
48.8443,2.39019,Blesse leger
48.8443,2.41032,Blesse leger
48.8444,2.35477,Blesse leger
48.8444,2.35477,Indemne
48.8444,2.38395,Blesse leger
48.8444,2.38971,Blesse leger
48.8444,2.42182,Blesse hospitalise
48.8445,2.38105,Blesse leger
48.8445,2.40626,Blesse leger
48.8446,2.29688,Blesse leger
48.8446,2.36545,Blesse leger
48.8447,2.36914,Blesse hospitalise
48.8447,2.40572,Blesse leger
48.8449,2.25728,Blesse leger
48.8449,2.34233,Blesse leger
48.8449,2.35222,Blesse leger
48.845,2.36617,Blesse leger
48.8451,2.2574,Indemne
48.8451,2.28949,Blesse leger
48.8451,2.32016,Blesse hospitalise
48.8451,2.32016,Blesse leger
48.8451,2.32016,Indemne
48.8451,2.32509,Blesse leger
48.8452,2.26189,Blesse leger
48.8452,2.27255,Blesse leger
48.8452,2.32855,Blesse leger
48.8452,2.33209,Blesse leger
48.8453,2.25751,Blesse leger
48.8453,2.25798,Blesse leger
48.8454,2.36684,Blesse leger
48.8455,2.27829,Blesse leger
48.8455,2.30124,Blesse leger
48.8455,2.34685,Blesse leger
48.8455,2.37124,Blesse leger
48.8456,2.32862,Blesse hospitalise
48.8457,2.29138,Blesse leger
48.8457,2.30197,Blesse leger
48.8457,2.30973,Blesse leger
48.8457,2.31946,Blesse leger
48.8457,2.33235,Indemne
48.8458,2.30512,Blesse leger
48.8458,2.3676,Blesse hospitalise
48.8458,2.3676,Blesse leger
48.8458,2.3676,Indemne
48.8458,2.37405,Blesse leger
48.8459,2.29605,Indemne
48.8459,2.31835,Blesse leger
48.846,2.31811,Indemne
48.846,2.34322,Blesse hospitalise
48.846,2.36735,Blesse leger
48.8461,2.27243,Blesse leger
48.8461,2.31423,Blesse leger
48.8461,2.34295,Indemne
48.8461,2.37617,Blesse leger
48.8462,2.27902,Blesse leger
48.8462,2.29514,Blesse leger
48.8462,2.32613,Indemne
48.8463,2.28206,Blesse leger
48.8463,2.39443,Blesse leger
48.8464,2.27269,Blesse leger
48.8464,2.40004,Blesse leger
48.8464,2.4139,Blesse leger
48.8465,2.34472,Blesse leger
48.8465,2.35457,Indemne
48.8466,2.27574,Blesse leger
48.8466,2.32099,Blesse leger
48.8466,2.35159,Blesse leger
48.8466,2.41598,Blesse leger
48.8467,2.27303,Blesse leger
48.8467,2.28829,Blesse leger
48.8467,2.28886,Indemne
48.8467,2.39559,Blesse leger
48.8468,2.28568,Indemne
48.8468,2.34331,Blesse leger
48.8468,2.36095,Blesse leger
48.8469,2.3694,Blesse leger
48.847,2.28528,Blesse leger
48.847,2.32692,Blesse leger
48.847,2.34061,Blesse hospitalise
48.847,2.38376,Blesse leger
48.847,2.41119,Blesse leger
48.847,2.41503,Blesse leger
48.8471,2.34509,Blesse leger
48.8472,2.27917,Blesse leger
48.8472,2.3271,Blesse leger
48.8472,2.34171,Blesse leger
48.8473,2.27341,Indemne
48.8473,2.31794,Blesse leger
48.8473,2.31794,Indemne
48.8473,2.32221,Blesse leger
48.8473,2.32791,Blesse leger
48.8473,2.37529,Blesse leger
48.8474,2.25941,Blesse leger
48.8474,2.31817,Blesse leger
48.8474,2.38714,Blesse leger
48.8474,2.40623,Blesse leger
48.8474,2.41072,Indemne
48.8475,2.40242,Blesse leger
48.8475,2.40288,Blesse leger
48.8476,2.32746,Blesse leger
48.8476,2.34094,Blesse leger
48.8477,2.28415,Blesse leger
48.8477,2.34004,Blesse leger
48.8478,2.29655,Indemne
48.8478,2.32953,Blesse leger
48.8478,2.36743,Blesse hospitalise
48.8478,2.39057,Blesse leger
48.8478,2.39906,Blesse hospitalise
48.8479,2.31939,Indemne
48.8479,2.39779,Blesse leger
48.848,2.32774,Blesse leger
48.848,2.39283,Blesse leger
48.8481,2.27061,Blesse leger
48.8481,2.29018,Blesse leger
48.8481,2.32791,Indemne
48.8481,2.3504,Blesse leger
48.8481,2.39335,Blesse leger
48.8482,2.33101,Indemne
48.8482,2.36497,Blesse leger
48.8483,2.26035,Blesse leger
48.8483,2.29037,Blesse leger
48.8483,2.3028,Blesse leger
48.8483,2.37327,Blesse leger
48.8484,2.34142,Blesse hospitalise
48.8484,2.41633,Blesse leger
48.8485,2.35489,Blesse leger
48.8486,2.39435,Blesse leger
48.8487,2.25772,Blesse leger
48.8487,2.28519,Blesse leger
48.8487,2.33263,Indemne
48.8487,2.37253,Blesse leger
48.8488,2.29071,Indemne
48.8488,2.34172,Blesse leger
48.8488,2.34172,Indemne
48.8488,2.40125,Tue
48.8489,2.38409,Blesse leger
48.849,2.30721,Blesse leger
48.849,2.36447,Blesse leger
48.849,2.40772,Blesse leger
48.8491,2.26938,Blesse hospitalise
48.8491,2.35762,Blesse leger
48.8491,2.35762,Indemne
48.8491,2.37546,Indemne
48.8492,2.33596,Blesse leger
48.8493,2.33781,Blesse leger
48.8493,2.34325,Blesse leger
48.8494,2.28155,Blesse hospitalise
48.8494,2.28155,Tue
48.8494,2.32914,Blesse leger
48.8494,2.35611,Blesse leger
48.8494,2.35682,Blesse leger
48.8494,2.37448,Blesse leger
48.8494,2.39642,Blesse leger
48.8494,2.40649,Blesse leger
48.8495,2.29599,Blesse leger
48.8495,2.29854,Blesse leger
48.8495,2.37072,Blesse leger
48.8495,2.41128,Blesse leger
48.8496,2.34483,Blesse leger
48.8496,2.34483,Indemne
48.8496,2.35032,Blesse leger
48.8498,2.34896,Blesse hospitalise
48.8498,2.34944,Blesse leger
48.8499,2.29911,Blesse leger
48.85,2.32713,Indemne
48.85,2.34243,Indemne
48.85,2.35486,Indemne
48.85,2.37475,Blesse leger
48.85,2.39311,Blesse leger
48.8501,2.28669,Blesse hospitalise
48.8501,2.37903,Indemne
48.8501,2.3843,Blesse leger
48.8501,2.3843,Indemne
48.8501,2.39486,Blesse leger
48.8502,2.26005,Indemne
48.8502,2.32409,Blesse leger
48.8502,2.39476,Blesse leger
48.8503,2.32987,Blesse leger
48.8503,2.39259,Blesse leger
48.8504,2.34267,Indemne
48.8504,2.38447,Blesse leger
48.8505,2.33009,Indemne
48.8505,2.37938,Blesse hospitalise
48.8505,2.3833,Blesse hospitalise
48.8505,2.38905,Blesse leger
48.8505,2.39302,Blesse leger
48.8506,2.30885,Blesse leger
48.8506,2.34641,Blesse leger
48.8506,2.37316,Blesse leger
48.8507,2.26717,Blesse leger
48.8507,2.33027,Blesse leger
48.8507,2.37019,Blesse leger
48.8507,2.39447,Blesse leger
48.8508,2.28426,Blesse leger
48.8508,2.34548,Blesse leger
48.8508,2.34548,Indemne
48.8508,2.3614,Blesse leger
48.8509,2.29259,Blesse leger
48.851,2.37714,Blesse leger
48.8511,2.30703,Blesse leger
48.8511,2.33067,Blesse hospitalise
48.8511,2.34618,Blesse leger
48.8511,2.35127,Blesse leger
48.8511,2.38994,Indemne
48.8512,2.36265,Blesse leger
48.8513,2.37612,Blesse leger
48.8513,2.39098,Blesse hospitalise
48.8513,2.39822,Blesse leger
48.8513,2.40627,Blesse leger
48.8514,2.33201,Blesse leger
48.8514,2.33648,Blesse leger
48.8514,2.34314,Blesse leger
48.8514,2.34314,Indemne
48.8514,2.36986,Indemne
48.8514,2.37559,Blesse leger
48.8515,2.33704,Blesse leger
48.8515,2.33704,Indemne
48.8517,2.32428,Blesse leger
48.8517,2.32787,Blesse leger
48.8517,2.3617,Blesse leger
48.8517,2.36442,Blesse leger
48.8518,2.29166,Blesse leger
48.8518,2.31383,Blesse leger
48.8518,2.34333,Blesse leger
48.8518,2.37638,Blesse leger
48.8519,2.37378,Indemne
48.8519,2.39368,Blesse leger
48.8519,2.40134,Blesse leger
48.852,2.33862,Blesse leger
48.8521,2.27449,Blesse leger
48.8521,2.29087,Blesse leger
48.8521,2.32976,Blesse leger
48.8521,2.33302,Blesse leger
48.8521,2.34008,Blesse leger
48.8521,2.34008,Indemne
48.8521,2.36094,Blesse leger
48.8522,2.29928,Blesse leger
48.8522,2.36595,Blesse leger
48.8523,2.37215,Blesse leger
48.8523,2.40405,Blesse leger
48.8523,2.40405,Indemne
48.8524,2.29058,Blesse leger
48.8524,2.29058,Indemne
48.8524,2.29662,Blesse leger
48.8524,2.33182,Blesse leger
48.8524,2.33182,Indemne
48.8524,2.36941,Blesse leger
48.8524,2.37189,Blesse leger
48.8525,2.23682,Blesse hospitalise
48.8525,2.26816,Blesse leger
48.8525,2.31457,Blesse leger
48.8525,2.31457,Indemne
48.8525,2.33881,Blesse leger
48.8525,2.33881,Indemne
48.8525,2.36672,Blesse leger
48.8526,2.33833,Blesse leger
48.8526,2.3598,Blesse leger
48.8526,2.36962,Blesse leger
48.8527,2.29073,Blesse leger
48.8527,2.34762,Blesse leger
48.8527,2.38864,Blesse leger
48.8528,2.33216,Blesse leger
48.8528,2.33216,Indemne
48.8528,2.34255,Blesse leger
48.8528,2.34379,Blesse leger
48.8528,2.34661,Blesse hospitalise
48.8528,2.34661,Blesse leger
48.8529,2.28104,Blesse leger
48.8529,2.32631,Blesse leger
48.8529,2.33505,Blesse leger
48.8529,2.33697,Blesse leger
48.8529,2.35896,Blesse leger
48.8529,2.36834,Blesse leger
48.8529,2.37704,Blesse leger
48.8529,2.38851,Blesse leger
48.8529,2.40712,Blesse leger
48.8531,2.26845,Blesse leger
48.8531,2.34682,Blesse leger
48.8531,2.40594,Blesse leger
48.8532,2.33255,Blesse leger
48.8532,2.37022,Blesse leger
48.8532,2.37022,Indemne
48.8533,2.35779,Blesse leger
48.8533,2.37701,Blesse leger
48.8533,2.37722,Blesse hospitalise
48.8534,2.38823,Blesse hospitalise
48.8535,2.3665,Blesse leger
48.8535,2.36952,Blesse leger
48.8535,2.40582,Blesse leger
48.8535,2.4106,Blesse leger
48.8535,2.4106,Indemne
48.8535,2.41086,Indemne
48.8536,2.31467,Blesse hospitalise
48.8537,2.2774,Blesse leger
48.8537,2.36896,Blesse leger
48.8537,2.36896,Indemne
48.8538,2.29412,Blesse leger
48.8538,2.33323,Blesse leger
48.8539,2.27675,Blesse leger
48.8539,2.33268,Blesse leger
48.8539,2.33268,Indemne
48.8539,2.36737,Blesse hospitalise
48.8539,2.37761,Blesse leger
48.8539,2.38197,Blesse leger
48.854,2.30953,Blesse leger
48.8541,2.34742,Blesse leger
48.8541,2.38263,Indemne
48.8542,2.27552,Blesse leger
48.8542,2.31963,Blesse leger
48.8542,2.364,Blesse leger
48.8542,2.36404,Blesse leger
48.8542,2.38337,Blesse leger
48.8543,2.34317,Blesse hospitalise
48.8543,2.36373,Indemne
48.8543,2.37138,Blesse leger
48.8544,2.34068,Blesse leger
48.8544,2.35494,Blesse leger
48.8544,2.35494,Indemne
48.8544,2.39613,Blesse leger
48.8545,2.28359,Blesse leger
48.8546,2.2422,Blesse leger
48.8546,2.35514,Blesse leger
48.8546,2.35514,Indemne
48.8546,2.36271,Blesse hospitalise
48.8547,2.36951,Indemne
48.8547,2.38535,Blesse leger
48.8548,2.32494,Blesse leger
48.8548,2.32918,Blesse leger
48.8548,2.37811,Blesse leger
48.8549,2.29591,Blesse leger
48.8549,2.33563,Indemne
48.855,2.26567,Indemne
48.8551,2.29478,Indemne
48.8551,2.34565,Blesse leger
48.8551,2.35021,Blesse leger
48.8551,2.36104,Blesse leger
48.8551,2.38712,Blesse leger
48.8551,2.41529,Blesse hospitalise
48.8552,2.3528,Blesse hospitalise
48.8552,2.3528,Blesse leger
48.8552,2.3528,Indemne
48.8552,2.36113,Indemne
48.8552,2.37033,Blesse leger
48.8552,2.39164,Blesse leger
48.8552,2.40535,Blesse leger
48.8554,2.31803,Blesse hospitalise
48.8555,2.36009,Blesse leger
48.8556,2.32525,Blesse leger
48.8556,2.32683,Blesse hospitalise
48.8557,2.24299,Blesse leger
48.8558,2.25187,Blesse leger
48.8558,2.28967,Blesse leger
48.8558,2.33411,Blesse hospitalise
48.8558,2.38158,Blesse leger
48.8558,2.41019,Blesse leger
48.8559,2.26473,Blesse leger
48.8559,2.29349,Blesse leger
48.8559,2.36226,Blesse leger
48.856,2.32588,Blesse leger
48.856,2.35089,Blesse leger
48.856,2.38625,Indemne
48.8561,2.34044,Blesse leger
48.8562,2.29295,Blesse leger
48.8562,2.31501,Blesse leger
48.8562,2.34643,Blesse leger
48.8562,2.36574,Indemne
48.8562,2.39101,Blesse leger
48.8562,2.40489,Blesse hospitalise
48.8563,2.32545,Blesse leger
48.8563,2.35812,Blesse leger
48.8563,2.35812,Indemne
48.8563,2.3782,Blesse leger
48.8563,2.38258,Blesse hospitalise
48.8564,2.2747,Indemne
48.8565,2.35549,Blesse leger
48.8566,2.28615,Blesse leger
48.8566,2.37099,Indemne
48.8566,2.37729,Blesse leger
48.8567,2.29355,Blesse leger
48.8567,2.33475,Blesse leger
48.8567,2.34891,Blesse leger
48.8567,2.40925,Blesse leger
48.8568,2.30924,Blesse hospitalise
48.8568,2.33034,Blesse leger
48.8568,2.33927,Blesse leger
48.8568,2.35104,Blesse leger
48.8569,2.3538,Blesse leger
48.8569,2.3538,Indemne
48.8571,2.36883,Blesse leger
48.8571,2.3712,Indemne
48.8572,2.29927,Blesse leger
48.8572,2.3099,Blesse hospitalise
48.8572,2.3276,Blesse leger
48.8572,2.34729,Blesse leger
48.8572,2.34977,Blesse leger
48.8572,2.36175,Blesse hospitalise
48.8572,2.36813,Blesse leger
48.8572,2.37897,Blesse leger
48.8573,2.27299,Blesse leger
48.8573,2.34679,Blesse leger
48.8573,2.34922,Blesse leger
48.8573,2.34922,Indemne
48.8573,2.3713,Indemne
48.8573,2.39035,Blesse leger
48.8574,2.33811,Blesse leger
48.8574,2.38081,Blesse leger
48.8574,2.38484,Blesse leger
48.8575,2.29103,Blesse leger
48.8575,2.35141,Blesse leger
48.8575,2.37968,Blesse leger
48.8576,2.28364,Indemne
48.8576,2.36804,Blesse leger
48.8577,2.26351,Blesse leger
48.8577,2.27138,Blesse leger
48.8577,2.29143,Blesse hospitalise
48.8577,2.33536,Blesse hospitalise
48.8577,2.33536,Blesse leger
48.8577,2.34776,Indemne
48.8577,2.38038,Blesse hospitalise
48.8577,2.40388,Blesse leger
48.8578,2.35156,Blesse leger
48.8578,2.37092,Blesse leger
48.8579,2.31572,Blesse leger
48.8579,2.32928,Blesse hospitalise
48.8579,2.34719,Blesse leger
48.8579,2.35166,Blesse hospitalise
48.8579,2.35785,Blesse leger
48.8579,2.37696,Blesse hospitalise
48.8579,2.40364,Blesse leger
48.858,2.38147,Blesse leger
48.8581,2.24688,Blesse leger
48.8581,2.31456,Blesse leger
