"","lat","long","Consequence.x","Arrondissement","an","mois","jour","Tranche_horaire","Agglomeration","intersection","Collision","Luminosite","Meteo","Route","Circulation","Profil.route","Plan.route","Surface","Lieu","Situation","Consequence.y","Genre","age","Contexte","Securite.equip","Equipement.secu","Obstacle.mobile","Choc.subi","Region"
"11",48.8204,2.35271,"Indemne",13,2016,"aout","lundi","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Indemne","Homme",25,"Promenade - loisirs","Oui","Casque","Vehicule","Arriere","Ile-de-France"
"12",48.8209,2.35076,"Blesse leger",13,2016,"octobre","mardi","Matin","En agglomeration","Intersection en X","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Pente","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",28,"Domicile – travail ","Oui","Casque","Vehicule","Avant","Ile-de-France"
"13",48.8209,2.35076,"Blesse leger",13,2016,"aout","dimanche","","En agglomeration","Intersection en T","Sans collision","Nuit sans eclairage public allume","Normale","Voie communale ","A chaussees separees","Pente","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",26,"Non renseigne","Oui","Casque","Aucun","Aucun","Ile-de-France"
"14",48.8209,2.35076,"Blesse leger",13,2017,"juin","mardi","Soir","En agglomeration","Intersection en X","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Pente","En courbe a droite","Normale","Valeur inconnue","Valeur inconnue","Blesse leger","Femme",33,"Promenade - loisirs","Oui","Casque","Vehicule","Avant","Ile-de-France"
"15",48.8216,2.35255,"Blesse leger",13,2016,"octobre","jeudi","Soir","En agglomeration","Intersection en T","Autre collision","Nuit sans eclairage public allume","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",31,"Domicile – travail ","Oui","Casque","Vehicule","Cote gauche","Ile-de-France"
"16",48.8216,2.35874,"Blesse leger",13,2016,"septembre","jeudi","Soir","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur accotement","Blesse leger","Homme",19,"Promenade - loisirs","Oui","Casque","Vehicule","Avant","Ile-de-France"
"17",48.8216,2.35874,"Blesse leger",13,2016,"juin","dimanche","Soir","En agglomeration","Hors intersection","Autre collision","Plein jour","Pluie legere","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Valeur inconnue","Blesse leger","Homme",13,"Promenade - loisirs","Oui","Casque","Vehicule","Cote droit","Ile-de-France"
"18",48.8222,2.34631,"Blesse leger",13,2017,"fevrier","samedi","","En agglomeration","Place","Autre collision","Nuit sans eclairage public allume","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",19,"Promenade - loisirs","Oui","Casque","Vehicule","Avant gauche","Ile-de-France"
"19",48.823,2.34673,"Blesse leger",13,2016,"juin","jeudi","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Valeur inconnue","Non renseigne","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",27,"Domicile – travail ","Oui","Casque","Vehicule","Aucun","Ile-de-France"
"20",48.823,2.35658,"Indemne",13,2017,"mai","lundi","Soir","En agglomeration","Intersection en X","Autre collision","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Indemne","Homme",27,"Promenade - loisirs","Oui","Casque","Pieton","Cote droit","Ile-de-France"
"21",48.8245,2.35785,"Blesse leger",13,2018,"juin","mardi","Soir","En agglomeration","Intersection en T","Autre collision","Nuit sans eclairage public allume","Normale","Voie communale ","A chaussees separees","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Femme",24,"Non renseigne","Oui","Casque","Pieton","Cote gauche","Ile-de-France"
"22",48.8245,2.35785,"Blesse leger",13,2018,"mars","mardi","Apres-midi","En agglomeration","Intersection en T","Autre collision","Plein jour","Pluie legere","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Indemne","Homme",31,"Promenade - loisirs","Oui","Casque","Pieton","Arriere","Ile-de-France"
"23",48.8245,2.35785,"Indemne",13,2018,"juin","mardi","Soir","En agglomeration","Intersection en T","Autre collision","Nuit sans eclairage public allume","Normale","Voie communale ","A chaussees separees","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Femme",24,"Non renseigne","Oui","Casque","Pieton","Cote gauche","Ile-de-France"
"24",48.8245,2.35785,"Indemne",13,2018,"mars","mardi","Apres-midi","En agglomeration","Intersection en T","Autre collision","Plein jour","Pluie legere","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Indemne","Homme",31,"Promenade - loisirs","Oui","Casque","Pieton","Arriere","Ile-de-France"
"25",48.8247,2.34919,"Blesse leger",13,2017,"avril","mercredi","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Valeur inconnue","Non renseigne","Non renseigne","Non renseigne","Valeur inconnue","Valeur inconnue","Blesse leger","Femme",26,"Domicile – travail ","Oui","Casque","Vehicule","Avant","Ile-de-France"
"26",48.8249,2.35768,"Blesse leger",13,2016,"mars","mardi","Soir","En agglomeration","Hors intersection","Deux vehicules - par l'arriere","Nuit sans eclairage public allume","Normale","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Femme",41,"Non renseigne","Oui","Casque","Vehicule","Avant","Ile-de-France"
"27",48.825,2.36226,"Blesse leger",13,2016,"septembre","vendredi","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par l'arriere","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Femme",29,"Promenade - loisirs","Oui","Casque","Vehicule","Cote gauche","Ile-de-France"
"28",48.8251,2.35761,"Blesse leger",13,2016,"juin","dimanche","Soir","En agglomeration","Intersection en T","Sans collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",55,"Promenade - loisirs","Oui","Casque","Aucun","Avant","Ile-de-France"
"29",48.8253,2.36264,"Blesse leger",13,2016,"mai","lundi","","En agglomeration","Intersection en T","Sans collision","Nuit sans eclairage public allume","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur accotement","Blesse leger","Homme",16,"Promenade - loisirs","Oui","Casque","Aucun","Aucun","Ile-de-France"
"30",48.8258,2.35739,"Blesse leger",13,2017,"juin","lundi","Soir","En agglomeration","Intersection en T","Deux vehicules - par l'arriere","Crepuscule ou aube","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",19,"Domicile – travail ","Oui","Casque","Vehicule","Avant","Ile-de-France"
"31",48.8259,2.35142,"Blesse leger",13,2017,"fevrier","samedi","Matin","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",28,"Non renseigne","Oui","Casque","Vehicule","Avant","Ile-de-France"
"32",48.8259,2.35207,"Blesse leger",13,2017,"aout","lundi","Soir","En agglomeration","Hors intersection","Deux vehicules - par le cote","Crepuscule ou aube","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",39,"Promenade - loisirs","Oui","Casque","Vehicule","Avant","Ile-de-France"
"33",48.8262,2.35729,"Blesse leger",13,2017,"octobre","vendredi","Apres-midi","En agglomeration","Intersection en X","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",69,"Promenade - loisirs","Oui","Casque","Vehicule","Avant droit","Ile-de-France"
"34",48.8262,2.35988,"Blesse leger",13,2016,"juin","dimanche","Apres-midi","En agglomeration","Intersection a plus de 4 branches","Sans collision","Plein jour","Pluie legere","Voie communale ","A sens unique","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Blesse leger","Homme",26,"Promenade - loisirs","Oui","Casque","Aucun","Aucun","Ile-de-France"
"35",48.8262,2.35988,"Blesse leger",13,2018,"avril","mercredi","Matin","En agglomeration","Intersection a plus de 4 branches","Autre collision","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Blesse leger","Homme",32,"Promenade - loisirs","Oui","Casque","Vehicule","Cote droit","Ile-de-France"
"36",48.8262,2.35988,"Blesse leger",13,2016,"decembre","jeudi","Soir","En agglomeration","Intersection a plus de 4 branches","Deux vehicules - par le cote","Nuit sans eclairage public allume","Normale","Voie communale ","Valeur inconnue","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",47,"Non renseigne","Oui","Casque","Vehicule","Avant","Ile-de-France"
"37",48.8263,2.36146,"Blesse leger",13,2017,"avril","samedi","","En agglomeration","Intersection en T","Autre collision","Nuit sans eclairage public allume","Normale","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",23,"Promenade - loisirs","Oui","Casque","Aucun","Avant","Ile-de-France"
"38",48.8263,2.36146,"Blesse leger",13,2017,"novembre","mardi","","En agglomeration","Intersection en T","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur accotement","Indemne","Homme",18,"Domicile – ecole","Oui","Casque","Pieton","Avant","Ile-de-France"
"39",48.8263,2.36146,"Indemne",13,2017,"avril","samedi","","En agglomeration","Intersection en T","Autre collision","Nuit sans eclairage public allume","Normale","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",23,"Promenade - loisirs","Oui","Casque","Aucun","Avant","Ile-de-France"
"40",48.8263,2.36146,"Indemne",13,2017,"novembre","mardi","","En agglomeration","Intersection en T","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur accotement","Indemne","Homme",18,"Domicile – ecole","Oui","Casque","Pieton","Avant","Ile-de-France"
"41",48.8264,2.36192,"Blesse leger",13,2016,"mai","dimanche","","En agglomeration","Hors intersection","Autre collision","Plein jour","Pluie legere","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Blesse leger","Homme",52,"Promenade - loisirs","Oui","Casque","Pieton","Avant","Ile-de-France"
"42",48.8266,2.36354,"Indemne",13,2017,"juin","mercredi","Apres-midi","En agglomeration","Intersection a plus de 4 branches","Autre collision","Plein jour","Pluie forte","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Indemne","Homme",20,"Valeur inconnue","Oui","Casque","Pieton","Avant","Ile-de-France"
"43",48.8268,2.35326,"Indemne",13,2017,"juin","jeudi","","En agglomeration","Intersection en X","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Valeur inconnue","Indemne","Homme",20,"Domicile – travail ","Oui","Casque","Pieton","Avant","Ile-de-France"
"44",48.8268,2.36469,"Indemne",13,2016,"decembre","jeudi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Crepuscule ou aube","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Indemne","Homme",18,"Non renseigne","Oui","Casque","Pieton","Avant","Ile-de-France"
"45",48.8268,2.36523,"Blesse leger",13,2016,"novembre","vendredi","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par l'arriere","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Femme",36,"Non renseigne","Oui","Casque","Vehicule","Aucun","Ile-de-France"
"46",48.8269,2.35109,"Blesse leger",13,2016,"juillet","dimanche","Soir","En agglomeration","Intersection en T","Deux vehicules - par le cote","Nuit sans eclairage public allume","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",19,"Promenade - loisirs","Oui","Casque","Vehicule","Avant","Ile-de-France"
"47",48.8275,2.35887,"Indemne",13,2017,"juin","vendredi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Plein jour","Pluie legere","Voie communale ","Valeur inconnue","Plat","Non renseigne","Mouillee","Valeur inconnue","Sur accotement","Indemne","Homme",17,"Valeur inconnue","Oui","Casque","Pieton","Avant","Ile-de-France"
"48",48.8284,2.35662,"Indemne",13,2017,"aout","jeudi","Apres-midi","En agglomeration","Intersection en T","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Indemne","Homme",27,"Domicile – travail ","Oui","Casque","Pieton","Avant gauche","Ile-de-France"
"49",48.8296,2.32833,"Indemne",14,2018,"janvier","mercredi","Matin","En agglomeration","Intersection en T","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Carrefour amenage","Aucun","Indemne","Homme",48,"Promenade - loisirs","Oui","Casque","Pieton","Avant","Ile-de-France"
"50",48.8297,2.33103,"Blesse leger",14,2017,"fevrier","vendredi","Matin","En agglomeration","Intersection en X","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Femme",42,"Domicile – travail ","Oui","Casque","Vehicule","Avant","Ile-de-France"
"51",48.8297,2.34949,"Indemne",13,2017,"avril","mercredi","Apres-midi","En agglomeration","Intersection en T","Autre collision","Plein jour","Normale","Voie communale ","A sens unique","Pente","Partie rectiligne","Normale","Valeur inconnue","Aucun","Indemne","Homme",46,"Domicile – travail ","Oui","Casque","Pieton","Avant","Ile-de-France"
"52",48.8297,2.35064,"Blesse leger",13,2016,"avril","mardi","","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Pente","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Blesse leger","Homme",32,"Non renseigne","Oui","Casque","Vehicule","Avant droit","Ile-de-France"
"53",48.8298,2.35406,"Blesse leger",13,2016,"mai","vendredi","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",72,"Non renseigne","Oui","Casque","Vehicule","Arriere","Ile-de-France"
"54",48.8299,2.3231,"Blesse leger",14,2018,"juin","vendredi","Soir","En agglomeration","Intersection en T","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur accotement","Blesse leger","Homme",47,"Utilisation professionnelle","Oui","Casque","Vehicule","Avant","Ile-de-France"
"55",48.8299,2.35013,"Blesse hospitalise",13,2018,"juin","dimanche","Soir","En agglomeration","Hors intersection","Sans collision","Nuit sans eclairage public allume","Normale","Voie communale ","Bidirectionnelle","Pente","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse hospitalise","Homme",39,"Non renseigne","Oui","Casque","Aucun","Cote gauche","Ile-de-France"
"56",48.8299,2.3503,"Blesse leger",13,2017,"mars","vendredi","Soir","En agglomeration","Hors intersection","Autre collision","Nuit sans eclairage public allume","Normale","Voie communale ","A sens unique","Pente","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",26,"Non renseigne","Oui","Casque","Aucun","Avant","Ile-de-France"
"57",48.8301,2.30571,"Blesse leger",14,2016,"septembre","samedi","Matin","En agglomeration","Hors intersection","Deux vehicules - par l'arriere","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",66,"Promenade - loisirs","Oui","Casque","Vehicule","Avant","Ile-de-France"
"58",48.8301,2.34781,"Blesse leger",13,2018,"juin","samedi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Plein jour","Normale","Voie communale ","A sens unique","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",30,"Non renseigne","Oui","Casque","Pieton","Cote droit","Ile-de-France"
"59",48.8301,2.3508,"Blesse leger",13,2016,"juin","mercredi","","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Femme",24,"Domicile – ecole","Oui","Casque","Vehicule","Avant","Ile-de-France"
"60",48.8303,2.34709,"Blesse leger",13,2016,"janvier","vendredi","Apres-midi","En agglomeration","Intersection a plus de 4 branches","Autre collision","Plein jour","Normale","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",66,"Promenade - loisirs","Oui","Casque","Vehicule","Avant","Ile-de-France"
"61",48.8307,2.32376,"Blesse leger",14,2018,"juin","mardi","Apres-midi","En agglomeration","Intersection en T","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",8,"Promenade - loisirs","Oui","Casque","Vehicule","Avant droit","Ile-de-France"
"62",48.8308,2.31206,"Blesse leger",14,2018,"avril","jeudi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Femme",4,"Promenade - loisirs","Oui","Dispositif enfants","Vehicule","Aucun","Ile-de-France"
"63",48.8308,2.31206,"Blesse leger",14,2018,"avril","jeudi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",31,"Promenade - loisirs","Oui","Casque","Vehicule","Aucun","Ile-de-France"
"64",48.8309,2.35665,"Indemne",13,2017,"mai","jeudi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Plein jour","Normale","Voie communale ","A chaussees separees","Pente","Partie rectiligne","Normale","Bretelle d’echangeur ou de raccordement Inondee","Aucun","Indemne","Homme",19,"Valeur inconnue","Oui","Casque","Pieton","Aucun","Ile-de-France"
"65",48.831,2.31782,"Blesse leger",14,2017,"mai","mercredi","","En agglomeration","Intersection en Y","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",39,"Promenade - loisirs","Oui","Casque","Vehicule","Avant gauche","Ile-de-France"
"66",48.8311,2.32965,"Blesse leger",14,2017,"mai","jeudi","Apres-midi","En agglomeration","Hors intersection","Trois vehicules et plus - en chaine","Nuit sans eclairage public allume","Pluie legere","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Blesse leger","Femme",23,"Non renseigne","Oui","Casque","Vehicule","Arriere","Ile-de-France"
"67",48.8313,2.32984,"Blesse leger",14,2017,"mars","jeudi","","En agglomeration","Intersection en X","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Avec voies d'affectation variable","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",41,"Non renseigne","Oui","Casque","Vehicule","Arriere gauche","Ile-de-France"
"68",48.8314,2.31582,"Blesse leger",14,2016,"novembre","mercredi","","En agglomeration","Hors intersection","Deux vehicules - par l'arriere","Plein jour","Pluie legere","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Blesse leger","Femme",35,"Domicile – travail ","Oui","Casque","Vehicule","Arriere droit","Ile-de-France"
"69",48.8315,2.31528,"Indemne",14,2017,"decembre","jeudi","Soir","En agglomeration","Intersection en T","Trois vehicules et plus - colisions multiples","Nuit sans eclairage public non allume","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Mouillee","Valeur inconnue","Aucun","Indemne","Homme",51,"Promenade - loisirs","Oui","Casque","Vehicule","Cote gauche","Ile-de-France"
"70",48.8321,2.30294,"Blesse leger",14,2017,"decembre","mardi","Soir","En agglomeration","Intersection en X","Deux vehicules - par le cote","Nuit sans eclairage public allume","Normale","Voie communale ","A sens unique","Pente","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Femme",31,"Promenade - loisirs","Oui","Casque","Vehicule","Avant","Ile-de-France"
"71",48.8322,2.33061,"Blesse leger",14,2016,"juillet","mercredi","Soir","En agglomeration","Intersection en T","Deux vehicules - par le cote","Crepuscule ou aube","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur bande d'arret d'urgence","Blesse leger","Femme",27,"Non renseigne","Oui","Casque","Vehicule","Avant","Ile-de-France"
"72",48.8322,2.36287,"Blesse leger",13,2018,"mai","jeudi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",15,"Promenade - loisirs","Oui","Casque","Vehicule","Avant gauche","Ile-de-France"
"73",48.8325,2.31684,"Indemne",14,2018,"avril","mardi","Apres-midi","En agglomeration","Hors intersection","Autre collision","Plein jour","Vent fort - tempete","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Indemne","Homme",31,"Non renseigne","Oui","Casque","Pieton","Cote droit","Ile-de-France"
"74",48.8325,2.32498,"Blesse leger",14,2016,"octobre","mardi","Apres-midi","En agglomeration","Intersection en X","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A chaussees separees","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",73,"Promenade - loisirs","Oui","Casque","Vehicule","Arriere gauche","Ile-de-France"
"75",48.8334,2.31238,"Blesse leger",14,2018,"mars","lundi","Apres-midi","En agglomeration","Hors intersection","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Sur trottoir","Blesse leger","Homme",61,"Non renseigne","Oui","Casque","Vehicule","Cote droit","Ile-de-France"
"76",48.8336,2.30919,"Blesse leger",14,2018,"juillet","vendredi","","En agglomeration","Intersection en X","Deux vehicules - par le cote","Plein jour","Normale","Voie communale ","Bidirectionnelle","Plat","Partie rectiligne","Normale","Valeur inconnue","Aucun","Blesse leger","Homme",20,"Promenade - loisirs","Oui","Casque","Vehicule","Avant gauche","Ile-de-France"
"77",48.8337,2.33189,"Indemne",14,2017,"juillet","vendredi","Soir","En agglomeration","Place","Autre collision","Plein jour","Normale","Voie communale ","Bidirectionnelle","Non renseigne","Non renseigne","Non renseigne","Valeur inconnue","Aucun","Indemne","Homme",47,"Non renseigne","Oui","Casque","Pieton","Cote gauche","Ile-de-France"
"78",48.8344,2.31889,"Blesse leger",14,2018,"mars","dimanche","Soir","En agglomeration","Intersection en T","Deux vehicules - frontale","Plein jour","Normale","Voie communale ","A sens unique","Plat","Partie rectiligne","Normale","Valeur inconnue","Valeur inconnue","Blesse leger","Homme",26,"Utilisation professionnelle","Oui","Casque","Vehicule","Avant","Ile-de-France"
